Category,Name,NameCH,Sweetness,Preparation_Time,Calories,Ingredients,Temperature,Size,Link,Image,Almond Flakes,Almond Pudding,Almond Soup,Black Sugar Boba,Boba,Caramel Pudding,Caramel Sauce,Chocolate Chip Egg Waffle,Chocolate Chips,Chocolate Egg Waffle,Chocolate Syrup,Chocolate Wafer Rolls,Coconut Flakes,Coconut Milk,Coconut Soup,Creamer,Crystal Mochi,Egg Waffle,Fluffy,Grass Jelly,Grass Jelly Shaved Ice,Grass Jelly Soup,Hot Red Beans Soup,Ice Cream,Mango,Matcha Egg Waffle,Matcha Red Beans Egg Waffle,Melon Jelly,Milk,Milk Tea Sauce,Mini Q,Mixed Nuts,Mung Bean Cakes,Peanuts,Potaro Ball,Purple Rice,Purple Rice Soup,Q Mochi,Red Beans,Red Beans Soup,Rice Balls,Sago,Sesame Rice Balls,Shaved Ice,Strawberry,Taro,Taro Balls,Taro Paste,Taro Paste Sauce,Tofu Pudding,Ube Milk Shaved Ice,Ube Paste
布丁,Boba Caramel Pudding,珍珠焦糖布丁,2,4,289,"Boba,Caramel Pudding",1," 
 	
One Size",,static/-e1613771171239.png,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
布丁,Red Bean Almond Pudding,红豆杏仁布丁,2,4,266,"Almond Pudding,Creamer,Red Beans",1," 
 	
One Size",,static/Almond-Pudding-w-Red-Bean.png,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
布丁,Q Mochi & Almond Pudding,Q麻薯杏仁布丁拼盘,2,4,625,"Almond Pudding,Caramel Sauce,Creamer,Red Beans,Coconut Flakes,Q Mochi",1," 
 	
One Size",,static/c93e30fc-248a-4b9b-ad5a-fc3ddd9185fa.png,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
布丁,Q Mochi & Caramel Pudding,Q麻薯焦糖布丁拼盘,2,4,663,"Boba,Caramel Pudding,Caramel Sauce,Coconut Flakes,Q Mochi",1," 
 	
One Size",,static/Q-Mochi-Egg-Pudding-Combo.png,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
麻薯小点心,Crystal Mochi Set,凉果子,1,4,384,Crystal Mochi,1," 
 	
One Size",,static/05-Crystal-Mochi-Set-1.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
麻薯小点心,Q Mochi Set,日式Q麻薯,1,4,359,"Caramel Sauce,Coconut Flakes,Q Mochi",1," 
 	
One Size",,static/Q-Mochi.png,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
麻薯小点心,Crystal & Q Mochi Set,凉果子Q麻薯拼盘,1,4,245,"Crystal Mochi,Caramel Sauce,Coconut Flakes,Q Mochi",1," 
 	
One Size",,static/,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
麻薯小点心,Crystal Mochi & Mung Bean Cake Set,凉果子绿豆糕拼盘,1,4,340,"Crystal Mochi,Mung Bean Cakes",1," 
 	
One Size",,static/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
麻薯小点心,Mung Bean Cake Set,绿豆糕,1,4,300,Mung Bean Cakes,1," 
 	
One Size",,static/5c3ea6d1-2d1a-402a-a854-5cfbda55de92.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
杏仁露,Hot Almond Drink,原味热杏仁露,1,4,445,Almond Soup,2," 
 	
One Size",,static/6e69b595-2297-4ba8-913d-5f3f348e3142.png,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
